model,tokenizer_type
openai-community/gpt2,BPE
meta-llama/Llama-3.1-8B-Instruct,BPE
facebook/opt-125m,BPE
meta-llama/Llama-3.2-1B-Instruct,BPE
meta-llama/Llama-3.2-3B-Instruct,BPE
meta-llama/Meta-Llama-3-8B,BPE
mistralai/Mistral-7B-Instruct-v0.2,BPE
EleutherAI/pythia-160m,BPE
distilbert/distilgpt2,BPE
openai-community/gpt2-large,BPE
lmsys/vicuna-7b-v1.5,BPE
meta-llama/Llama-3.2-1B,BPE
meta-llama/Llama-3.2-3B,BPE
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,BPE
meta-llama/Meta-Llama-3-8B-Instruct,BPE
meta-llama/Llama-3.1-8B,BPE
bigscience/bloomz-560m,BPE
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,BPE
meta-llama/Llama-3.1-70B-Instruct,BPE
openai-community/gpt2-medium,BPE
EleutherAI/pythia-70m-deduped,BPE
meta-llama/Llama-2-7b-hf,BPE
sshleifer/tiny-gpt2,BPE
skt/kogpt2-base-v2,BPE
meta-llama/Llama-3.3-70B-Instruct,BPE
meta-llama/Llama-3.1-405B,BPE
mistralai/Mistral-7B-Instruct-v0.1,BPE
xlnet/xlnet-base-cased,Unigram
rinna/japanese-gpt-neox-small,Unigram
mistralai/Mistral-7B-v0.1,BPE
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,BPE
trl-internal-testing/tiny-random-LlamaForCausalLM,BPE
microsoft/DialoGPT-medium,BPE
meta-llama/Llama-2-7b-chat-hf,BPE
facebook/opt-1.3b,BPE
baichuan-inc/Baichuan2-7B-Chat,SP
nvidia/Llama-3.1-Nemotron-Nano-8B-v1,BPE
openai-community/gpt2-xl,BPE
nvidia/NVIDIA-Nemotron-Nano-9B-v2,BPE
yahma/llama-7b-hf,BPE
meta-llama/Meta-Llama-3-70B,BPE
microsoft/biogpt,BPE
openai-community/openai-gpt,BPE
HuggingFaceM4/tiny-random-LlamaForCausalLM,BPE
NousResearch/Meta-Llama-3.1-8B-Instruct,BPE
EleutherAI/gpt-neo-125m,BPE
meta-llama/Llama-Guard-3-8B,BPE
EleutherAI/gpt-neox-20b,BPE
nvidia/NVIDIA-Nemotron-Nano-9B-v2-Base,BPE
cyberagent/open-calm-3b,BPE
meta-llama/Llama-3.1-405B-Instruct,BPE
bigscience/bloom-560m,BPE
XLabs-AI/xflux_text_encoders,Unigram
nvidia/NVIDIA-Nemotron-Nano-9B-v2-Japanese,BPE
deepseek-ai/deepseek-llm-7b-chat,BPE
teknium/OpenHermes-2.5-Mistral-7B,BPE
facebook/opt-350m,BPE
tiiuae/falcon-7b,BPE
Salesforce/codegen-350M-mono,BPE
meta-llama/Llama-2-13b-chat-hf,BPE
Qwen/Qwen-VL-Chat,BPE
huggyllama/llama-7b,BPE
deepseek-ai/deepseek-coder-6.7b-instruct,BPE
HuggingFaceH4/zephyr-7b-beta,BPE
JackFram/llama-68m,BPE
codellama/CodeLlama-7b-Instruct-hf,BPE
mlx-community/Llama-3.2-1B-Instruct-4bit,BPE
Salesforce/ctrl,BPE
EleutherAI/pythia-6.9b-deduped,BPE
AI-Sweden-Models/gpt-sw3-126m,SP
google/reformer-crime-and-punishment,BPE
NousResearch/Llama-2-7b-hf,BPE
facebook/xglm-564M,Unigram
EleutherAI/gpt-j-6b,BPE
codellama/CodeLlama-34b-Instruct-hf,BPE
mtgv/MobileLLaMA-1.4B-Chat,BPE
abeja/gpt-neox-japanese-2.7b,BPE
EleutherAI/pythia-410m,BPE
BioMistral/BioMistral-7B,BPE
refactai/Refact-1_6B-fim,BPE
EleutherAI/pythia-160m-deduped,BPE
deepseek-ai/deepseek-coder-1.3b-instruct,BPE
nvidia/Llama-3_3-Nemotron-Super-49B-v1_5,BPE
codellama/CodeLlama-7b-hf,BPE
Vamsi/T5_Paraphrase_Paws,Unigram
meta-llama/Meta-Llama-3-70B-Instruct,BPE
TIGER-Lab/VLM2Vec-Full,BPE
mlx-community/Llama-3.2-3B-Instruct-4bit,BPE
meta-llama/Llama-3.1-70B,BPE
nvidia/NVIDIA-Nemotron-Nano-9B-v2-FP8,BPE
MaxJeblick/llama2-0b-unit-test,BPE
roneneldan/TinyStories-1M,BPE
internlm/internlm-chat-7b,SP
Maykeye/TinyLLama-v0,BPE
dphn/dolphin-2.6-mistral-7b,BPE
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16,BPE
bigcode/gpt_bigcode-santacoder,BPE
codeparrot/codeparrot-small,BPE
microsoft/DialoGPT-small,BPE
delphi-suite/v0-llama2-100k,BPE
roneneldan/TinyStories-33M,BPE
EleutherAI/pythia-14m-deduped,BPE
meta-llama/Llama-Guard-3-1B,BPE
HuggingFaceH4/tiny-random-LlamaForCausalLM,BPE
JackFram/llama-160m,BPE
Salesforce/xLAM-2-3b-fc-r,BPE
tiiuae/falcon-7b-instruct,BPE
baffo32/decapoda-research-llama-7B-hf,
stelterlab/NVIDIA-Nemotron-3-Nano-30B-A3B-AWQ,BPE
bigscience/bloom-1b7,BPE
EleutherAI/gpt-neo-2.7B,BPE
EleutherAI/pythia-12b,BPE
EleutherAI/gpt-neo-1.3B,BPE
mlx-community/Llama-3.3-70B-Instruct-4bit,BPE
baichuan-inc/Baichuan-7B,SP
Qwen/Qwen-VL,BPE
nvidia/Nemotron-H-4B-Base-8K,BPE
KomeijiForce/bart-large-emojilm,BPE
Salesforce/xLAM-7b-r,BPE
Salesforce/xLAM-8x7b-r,BPE
mlx-community/Llama-3.3-70B-Instruct-8bit,BPE
mlx-community/Meta-Llama-3.1-70B-Instruct-4bit,BPE
EleutherAI/pythia-14m,BPE
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,BPE
nferruz/ProtGPT2,BPE
nvidia/Nemotron-H-4B-Instruct-128K,BPE
tiiuae/falcon-40b-instruct,BPE
mlx-community/Llama-3.2-3B-Instruct-8bit,BPE
Salesforce/Llama-xLAM-2-8b-fc-r,BPE
deepseek-ai/deepseek-coder-6.7b-base,BPE
Nargizi/screeve-lemmatizer,WordPiece
EleutherAI/pythia-410m-deduped,BPE
deepseek-ai/deepseek-llm-7b-base,BPE
ai-forever/rugpt3small_based_on_gpt2,BPE
nvidia/Nemotron-Cascade-8B,BPE
